Prefixo,Nome,TipoPosto,Data,Valor,Valor2
351870108A,Guarujá (Jardim da Esperança),2,2025/03/05,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/04,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/03,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/02,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/03/01,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/28,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/27,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/26,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/25,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/24,1.1817000000000002,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/23,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/22,2.3726028807653696,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/21,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/20,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/19,98.79515499709949,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/18,47.149503761503546,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/17,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/16,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/14,5.72040747335177,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/13,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/12,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/11,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/10,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/09,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/08,1.77438,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/07,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/06,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/05,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/04,23.58866540537147,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/03,40.941148560284624,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/02,18.112972390394745,null
351870108A,Guarujá (Jardim da Esperança),2,2025/02/01,42.094037316786164,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/31,20.279349530423126,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/30,80.01390095811965,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/29,97.48583555333502,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/28,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/27,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/26,65.93239382998733,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/25,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/24,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/23,0.2,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/22,1.7817,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/21,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/20,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/19,2.1666426481240046,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/18,0.39268000000000003,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/17,18.586162916546282,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/16,1,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/15,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/14,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/13,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/12,6.885346917456591,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/11,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/10,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/09,4.5261011135349705,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/08,12.807766401657583,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/07,2.957214909336481,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/06,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/05,19.43328140924799,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/04,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/03,45.561346934039825,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/02,0,null
351870108A,Guarujá (Jardim da Esperança),2,2025/01/01,0,null
